word,clue,length
ГОЛОСНИЙ,Той, що дуже добре чутно,8
ТИХИЙ,Той, що ледь чутно,5
ШВИДКИЙ,Той, що долає відстань за короткий час,7
ПОВІЛЬНИЙ,Той, що долає відстань за довгий час,9
ПРОСТИЙ,Той, що не має труднощів у розумінні,7
СКЛАДНИЙ,Той, що важко зрозуміти чи виконати,8
ЯСНИЙ,Той, що легко зрозумілий,5
ЗАПЛУТАНИЙ,Той, що важко розібрати через хаотичність,10
ПОВНИЙ,Той, у якому немає вільного місця,6
НЕПОВНИЙ,Той, у якому чогось бракує,8
РІВНОМІРНИЙ,Той, що однаковий по всій довжині чи площі,11
НЕОДНАКОВИЙ,Той, що різний у різних місцях,11
СТАБІЛЬНИЙ,Той, що не змінюється з часом,10
МІНЛИВИЙ,Той, що часто змінюється,8
ПОСТІЙНИЙ,Той, що триває без перерви,9
