word,clue,length
ГОСТРИЙ,Той, що має здатність різати чи колоти,7
ТУПИЙ,Той, що втратив здатність різати,5
ЖОРСТКИЙ,Той, що не піддається тиску,8
МЯКИЙ,Той, що легко піддається тиску,5
ТЕПЛИЙ,Той, що має приємно високу температуру,6
ХОЛОДНИЙ,Той, що має низьку температуру,8
ГАРЯЧИЙ,Той, що має дуже високу температуру,7
МОРОЗНИЙ,Той, що пов'язаний з дуже низькою температурою,8
СУХИЙ,Той, у якому немає вологи,5
МОКРИЙ,Той, що просякнутий вологою,6
ЧИСТИЙ,Той, на якому немає бруду,6
БРУДНИЙ,Той, на якому є бруд,7
СВІТЛИЙ,Той, що має багато світла чи ясний колір,7
ТЕМНИЙ,Той, у якому мало світла,6
ГАМІРНИЙ,Той, у якому багато шуму,8
