word,clue,length
ЖАДІБНІСТЬ,Надмірне бажання мати більше,10
СКРОМНІСТЬ,Відсутність зайвого самовихваляння,10
ЩИРІСТЬ,Відвертість без фальші,7
ЛИЦЕМІРСТВО,Удавана поведінка, що суперечить справжнім думкам,11
ХОРОБРІСТЬ,Здатність діяти, попри страх,10
БОЯГУЗТВО,Уникнення небезпеки через страх,9
ТЕРПІННЯ,Здатність довго очікувати без роздратування,8
ПОСПІХ,Прагнення зробити щось якнайшвидше,6
РІШУЧІСТЬ,Здатність швидко діяти без вагань,9
ВАГАННЯ,Нездатність швидко прийняти рішення,7
ЗАРОЗУМІЛИЙ,Той, хто надто високої думки про себе,11
БОЯЗКИЙ,Той, хто легко лякається,7
СПІВЧУТТЯ,Розуміння чужого болю,9
БАЙДУЖІСТЬ,Відсутність емоційної реакції,10
ЕМПАТІЯ,Здатність відчувати стан іншої людини,7
