word,clue,length
ПЕРШИЙ,Той, що йде перед усіма іншими,6
ОСТАННІЙ,Той, що йде після всіх інших,8
ДРУГОРЯДНИЙ,Не найважливіший, побічний,11
ОСНОВНИЙ,Найважливіший, головний,8
ДОДАТКОВИЙ,Той, що йде понад основне,10
ЗАЙВИЙ,Непотрібний, поза мірою,6
НЕОБХІДНИЙ,Той, без чого не обійтися,10
МОЖЛИВИЙ,Той, що здатний статися,8
ЙМОВІРНИЙ,Той, що, скоріш за все, станеться,9
СПРАВЖНІЙ,Той, що не підробка,9
ФАЛЬШИВИЙ,Той, що видає себе за інше,9
ОРИГІНАЛЬНИЙ,Той, що не є копією,12
ТИПОВИЙ,Такий, як усі подібні,7
УНІКАЛЬНИЙ,Єдиний у своєму роді,10
ОСОБЛИВИЙ,Той, що вирізняється серед інших,9
ЗВИЧНИЙ,Той, до чого давно призвичаїлись,7
НЕЗНАЙОМИЙ,Той, кого раніше не зустрічали,10
РІДНИЙ,Той, що близький по крові чи серцю,6
ЧУЖИЙ,Протилежне до рідного,5
ПРИВАТНИЙ,Не призначений для сторонніх,9
ПУБЛІЧНИЙ,Відкритий для всіх,9
ОСОБИСТИЙ,Той, що належить конкретній людині,9
СПІЛЬНИЙ,Той, що належить кільком разом,8
ОКРЕМИЙ,Той, що стоїть сам по собі,7
ЄДИНИЙ,Той, що є в однині, без інших,6
ПОДВІЙНИЙ,Той, що складається з двох частин,9
ПОТРІЙНИЙ,Той, що складається з трьох частин,9
ПАРНИЙ,Той, що ділиться на двоє без остачі,6
НЕПАРНИЙ,Той, що не ділиться на двоє без остачі,8
ЦІЛИЙ,Той, що не має жодної нестачі,5
ЧАСТКОВИЙ,Той, що охоплює лише частину,9
