word,clue,length
НЕЗАЛЕЖНИЙ,Той, що не потребує чужої допомоги,10
ЗАЛЕЖНИЙ,Той, хто потребує когось чи чогось,8
СЛУХНЯНИЙ,Той, хто легко виконує вказівки,9
ОХАЙНИЙ,Той, хто тримає все в порядку й чистоті,7
НЕОХАЙНИЙ,Той, хто не дбає про порядок і чистоту,9
АКУРАТНИЙ,Той, хто робить усе ретельно й точно,9
НЕДБАЛИЙ,Той, хто робить усе абияк,8
СТАРАННИЙ,Той, хто докладає багато зусиль,9
ЛЕДАЧИЙ,Той, хто уникає роботи,7
ПРАЦЬОВИТИЙ,Той, хто любить і вміє працювати,11
БОЯЗЛИВИЙ,Той, хто легко лякається,9
ХОРОБРИЙ,Той, хто не боїться небезпеки,8
ЗАПАЛЬНИЙ,Той, хто швидко спалахує гнівом,9
НЕРВОВИЙ,Той, хто легко втрачає спокій,8
ВРАЗЛИВИЙ,Той, хто легко переймається чужими словами,9
ТОВАРИСЬКИЙ,Той, хто любить товариство й спілкування,11
БАЛАКУЧИЙ,Той, хто любить багато говорити,9
МОВЧАЗНИЙ,Той, хто говорить рідко й небагато,9
ЗДІБНИЙ,Той, хто має природний хист до чогось,7
ОБДАРОВАНИЙ,Той, хто наділений особливим талантом,11
КМІТЛИВИЙ,Той, хто швидко все схоплює,9
МЕТКИЙ,Той, хто швидкий і спритний у діях,6
СПРИТНИЙ,Той, хто вправно й швидко рухається,8
НЕЗГРАБНИЙ,Той, хто рухається незручно й важко,10
