word,clue,length
ЦІННИЙ,Той, що має велику вартість,6
БЕЗЦІННИЙ,Той, чию вартість неможливо виміряти грішми,9
КОШТОВНИЙ,Той, що дорого коштує,9
ПРИДАТНИЙ,Той, що годиться для використання,9
НЕПРИДАТНИЙ,Той, що вже не годиться для використання,11
СМАЧНИЙ,Той, що має приємний смак,7
АПЕТИТНИЙ,Той, що збуджує бажання їсти,9
ЗІПСОВАНИЙ,Той, що втратив придатність,10
СТИГЛИЙ,Той, що дозрів і готовий до споживання,7
НЕЗРІЛИЙ,Той, що ще не дозрів,8
ГНИЛИЙ,Той, що зіпсувався через розкладання,6
ЧЕРСТВИЙ,Той, що втратив свіжість про хліб,8
ПАХУЧИЙ,Той, що має сильний приємний запах,7
СМЕРДЮЧИЙ,Той, що має дуже неприємний запах,9
МУТНИЙ,Той, що втратив прозорість,6
СТЕРИЛЬНИЙ,Той, що повністю позбавлений мікробів,10
