word,clue,length
СВІЖИЙ,Той, що недавно з'явився чи приготований,6
ЗАСТАРІЛИЙ,Той, що втратив актуальність,10
СУЧАСНИЙ,Той, що відповідає нинішньому часу,8
СТАРОДАВНІЙ,Той, що існував дуже давно,11
МОДНИЙ,Той, що популярний зараз,6
ЗАБУТИЙ,Той, про кого перестали пам'ятати,7
ВІДОМИЙ,Той, кого знає багато людей,7
НЕВІДОМИЙ,Той, кого мало хто знає,9
ЗНАМЕНИТИЙ,Той, хто здобув широку славу,10
ПЕРЕСІЧНИЙ,Той, хто нічим не виділяється,10
ВИНЯТКОВИЙ,Той, що трапляється дуже рідко,10
ЗВИЧНИЙ,Той, до чого давно призвичаїлися,7
НЕЗВИЧАЙНИЙ,Той, що вражає своєю відмінністю,11
ТИПОВИЙ,Той, що відповідає загальному зразку,7
УНІКАЛЬНИЙ,Той, що існує в єдиному екземплярі,10
