word,clue,length
ХИТРИЙ,Той, хто досягає мети обманом,6
НАЇВНИЙ,Той, хто легко вірить у все,7
МУДРИЙ,Той, хто має великий життєвий досвід і розум,6
ДУРНИЙ,Той, хто робить необдумані вчинки,6
КМІТЛИВИЙ,Той, хто швидко знаходить рішення,9
ТУПИЙ,Той, хто повільно розуміє,5
ЧЕСНИЙ,Той, хто завжди говорить правду,6
БРЕХЛИВИЙ,Той, хто часто говорить неправду,9
ВІРНИЙ,Той, хто не зраджує,6
ЗРАДЛИВИЙ,Той, хто порушує довіру,9
СКРОМНИЙ,Той, хто не хвалиться собою,8
ЗАРОЗУМІЛИЙ,Той, хто вважає себе кращим за інших,11
ЛАСКАВИЙ,Той, хто ніжний і приязний у ставленні,8
ЗЛОСТИВИЙ,Той, хто бажає іншим зла,9
ПРИВІТНИЙ,Той, хто приязно зустрічає інших,9
