word,clue,length
ДОРОГИЙ,Той, що коштує багато грошей,7
ДЕШЕВИЙ,Той, що коштує мало грошей,7
ЦІННИЙ,Той, що має велике значення чи вартість,6
БЕЗЦІННИЙ,Той, що не має грошового еквівалента через велику значущість,9
КОРИСНИЙ,Той, що приносить користь,8
ШКІДЛИВИЙ,Той, що завдає шкоди,9
НЕОБХІДНИЙ,Той, без чого не обійтися,10
ЗАЙВИЙ,Той, що не потрібен,6
ГОЛОВНИЙ,Той, що найважливіший серед інших,8
ДРУГОРЯДНИЙ,Той, що має меншу важливість,11
ОСНОВНИЙ,Той, на чому все тримається,8
ДОДАТКОВИЙ,Той, що йде понад основне,10
ПРИБЛИЗНИЙ,Той, що не є точним, а лише орієнтовним,10
ТОЧНИЙ,Той, що не має похибки,6
НЕТОЧНИЙ,Той, що має похибку,8
