word,clue,length
МЕТА,Бажаний кінцевий результат,4
НАМІР,Внутрішнє рішення щось зробити,5
ПЛАН,Продуманий порядок дій,4
МЕТОД,Спосіб досягнення результату,5
ЗАСІБ,Знаряддя чи спосіб для досягнення мети,5
ПРИЧИНА,Те, що викликає наслідок,7
НАСЛІДОК,Те, що виникає внаслідок причини,8
РЕЗУЛЬТАТ,Підсумок якоїсь дії чи процесу,9
ПРОЦЕС,Послідовність пов'язаних змін,6
ЕТАП,Окрема частина довшого процесу,4
СТАДІЯ,Певний період розвитку процесу,6
ТЕНДЕНЦІЯ,Загальний напрямок розвитку подій,9
ПРОГРЕС,Рух уперед до кращого стану,7
РЕГРЕС,Рух назад до гіршого стану,6
СТАГНАЦІЯ,Відсутність будь-якого розвитку,9
