word,clue,length
ЛЕГЕНДАРНИЙ,Той, про кого складають перекази,11
БЕЗСМЕРТНИЙ,Той, що ніколи не помирає,11
СМЕРТНИЙ,Той, чиє життя колись закінчиться,8
СТАНДАРТНИЙ,Той, що відповідає загальній нормі,11
ЕКЗОТИЧНИЙ,Той, що незвичний для цих країв,10
ДИКИЙ,Той, що живе поза контролем людини,5
СВІЙСЬКИЙ,Той, що приручений людиною,9
ХИЖИЙ,Той, що живиться іншими тваринами,5
ТРАВОЇДНИЙ,Той, що живиться лише рослинами,10
МЯСОЇДНИЙ,Той, що живиться м'ясом,9
ОТРУЙНИЙ,Той, що містить смертельну речовину,8
БЕЗПЕЧНИЙ,Той, що не завдає шкоди,9
НЕБЕЗПЕЧНИЙ,Той, що загрожує життю чи здоров'ю,11
СВІТСЬКИЙ,Той, що не пов'язаний з релігією,9
ДУХОВНИЙ,Той, що стосується релігії чи внутрішнього світу,8
ГРІХОВНИЙ,Той, що порушує моральні заповіді,9
ПРОКЛЯТИЙ,Той, на кого накладено лихе побажання,9
НЕЩАСНИЙ,Той, кому не таланить у житті,8
ВДАЛИЙ,Той, що завершився успішно,6
НЕВДАЛИЙ,Той, що завершився провалом,8
