word,clue,length
ПОСПІШНИЙ,Той, що зроблений без належної підготовки,9
ОБЕРЕЖНИЙ,Той, хто уникає ризику,9
НЕДБАЙЛИВИЙ,Той, хто ставиться до справи абияк,11
СТАРАННИЙ,Той, хто докладає багато зусиль,9
ВИТРИВАЛИЙ,Той, хто здатний довго терпіти навантаження,10
СЛАБКИЙ,Той, хто має мало сил,7
МІЦНИЙ,Той, хто фізично сильний і стійкий,6
ГНУЧКИЙ,Той, хто легко пристосовується,7
НЕПОХИТНИЙ,Той, хто твердо стоїть на своєму,10
РІШУЧИЙ,Той, хто швидко приймає рішення,7
НЕРІШУЧИЙ,Той, хто довго вагається,9
БАЙДУЖИЙ,Той, кому все одно,8
НЕБАЙДУЖИЙ,Той, хто щиро переймається,10
ЧУЙНИЙ,Той, хто помічає чужий стан і реагує,6
ЧЕРСТВИЙ,Той, хто байдужий до чужого горя,8
