word,clue,length
РУХОМИЙ,Той, що може змінювати положення,7
СТАТИЧНИЙ,Той, що залишається на місці й не змінюється,9
ДИНАМІЧНИЙ,Той, що постійно змінюється й розвивається,10
СИМЕТРИЧНИЙ,Той, що однаковий по обидва боки від осі,11
АСИМЕТРИЧНИЙ,Той, що різний по обидва боки від осі,12
ПАРАЛЕЛЬНИЙ,Той, що йде поруч, ніколи не перетинаючись,11
ВЕРТИКАЛЬНИЙ,Той, що спрямований прямовисно вгору-вниз,12
ДІАГОНАЛЬНИЙ,Той, що йде навскіс,12
ОПУКЛИЙ,Той, що вигинається назовні,7
УВІГНУТИЙ,Той, що вигинається всередину,9
ГОСТРОКУТНИЙ,Той, чиї кути менші за прямий,12
ТУПОКУТНИЙ,Той, чиї кути більші за прямий,10
ПОРОЖНИСТИЙ,Той, що має простір усередині,11
СУЦІЛЬНИЙ,Той, що без прогалин і розривів,9
