word,clue,length
ЕНЕРГІЙНИЙ,Той, хто діє з великою активністю,10
ВЯЛИЙ,Той, хто діє мляво і повільно,5
БАДЬОРИЙ,Той, хто повний сил і енергії,8
ВТОМЛЕНИЙ,Той, хто витратив багато сил,9
ЗДОРОВИЙ,Той, хто не має хвороб,8
ХВОРОБЛИВИЙ,Той, хто часто хворіє,11
МІЦНИЙ,Той, хто має добре здоров'я й силу,6
КВОЛИЙ,Той, хто слабкий тілом,6
ЖВАВИЙ,Той, хто рухливий і швидкий,6
ВАЙЛУВАТИЙ,Той, хто незграбний і повільний,10
СПРАВНИЙ,Той, хто в доброму робочому стані,8
НЕСПРАВНИЙ,Той, хто не працює як слід,10
НОВИЙ,Той, що недавно з'явився чи виготовлений,5
ПОНОШЕНИЙ,Той, що довго був у використанні,9
ПОШКОДЖЕНИЙ,Той, що має вади через удар чи час,11
