word,clue,length
ВІДКРИТИЙ,Той, хто не приховує своїх думок,9
ЗАКРИТИЙ,Той, хто не показує своїх почуттів,8
СПОКУСЛИВИЙ,Той, що викликає бажання,11
НЕПОХИТНИЙ,Той, кого важко переконати змінити рішення,10
ПОСТУПЛИВИЙ,Той, хто легко йде на компроміс,11
ВПЕРТИЙ,Той, хто стоїть на своєму попри доводи,7
ПРАКТИЧНИЙ,Той, хто цінує зручність і користь,10
ТЕОРЕТИЧНИЙ,Той, що стосується ідей, а не практики,11
ЛОГІЧНИЙ,Той, що відповідає законам розуму,8
ПОСЛІДОВНИЙ,Той, хто не суперечить сам собі,11
ЦІЛІСНИЙ,Той, що є єдиним нероздільним,8
