word,clue,length
УЛАМАНИЙ,Той, що розколотий на шматки,8
ЦІЛІСНИЙ,Той, що не розділений на частини,8
РОЗКІШНИЙ,Той, що вражає багатством і красою,9
ЗЛИДЕННИЙ,Той, хто живе в крайній бідності,9
БАГАТИЙ,Той, хто має багато майна чи грошей,7
БІДНИЙ,Той, хто має мало майна чи грошей,6
ЩАСЛИВИЙ,Той, кому таланить у житті,8
НЕЩАСНИЙ,Той, кому не таланить у житті,8
СИЛЬНИЙ,Той, хто має велику фізичну силу,7
БЕЗСИЛИЙ,Той, хто не має сил щось зробити,8
ЗДІБНИЙ,Той, хто легко навчається новому,7
БЕЗДАРНИЙ,Той, хто не має природних здібностей,9
ТАЛАНОВИТИЙ,Той, хто має видатні природні здібності,11
ГЕНІАЛЬНИЙ,Той, хто має надзвичайно високий рівень здібностей,10
ПОСЕРЕДНІЙ,Той, хто не виділяється ні добре, ні погано,10
