word,clue,length
СОЛОДКИЙ,Той, що має смак цукру,8
КИСЛИЙ,Той, що має різкий терпкий смак лимона,6
ГІРКИЙ,Той, що має неприємний різкий смак полину,6
СОЛОНИЙ,Той, що має смак солі,7
ГОСТРИЙ,Той, що пече на язику від перцю,7
ПРІСНИЙ,Той, що майже не має смаку,7
ЖИРНИЙ,Той, що містить багато жиру,6
НЕЖИРНИЙ,Той, що містить мало жиру,8
СВІЖИЙ,Той, що недавно приготований чи зірваний,6
ЗІПСОВАНИЙ,Той, що втратив придатність через псування,10
СМАЧНИЙ,Той, що має приємний смак,7
НЕСМАЧНИЙ,Той, що має неприємний смак,9
ХРУСТКИЙ,Той, що видає звук при розкушуванні,8
ВЯЗКИЙ,Той що тягнеться при жуванні,6
ТЕРПКИЙ,Той, що стягує рот, як незрілий фрукт,7
