word,clue,length
ЯКІСНИЙ,Той, що відповідає високим стандартам,7
НЕЯКІСНИЙ,Той, що зроблений абияк,9
ДОСКОНАЛИЙ,Той, у якому немає вад,10
НЕДОСКОНАЛИЙ,Той, у якому є вади,12
ЕФЕКТИВНИЙ,Той, що дає добрий результат з малими зусиллями,10
МАРНИЙ,Той, що не дає жодного результату,6
ДОЦІЛЬНИЙ,Той, що виправданий з практичної точки зору,9
НЕДОЦІЛЬНИЙ,Той, що не має практичного сенсу,11
РЕАЛЬНИЙ,Той, що існує насправді,8
УЯВНИЙ,Той, що існує лише в думках,6
СПРАВЖНІЙ,Той, що не є підробкою,9
ФАЛЬШИВИЙ,Той, що є підробкою,9
ОРИГІНАЛЬНИЙ,Той, що є первісним, а не копією,12
СКОПІЙОВАНИЙ,Той, що є точним відтворенням іншого,12
ПОДІБНИЙ,Той, що схожий на щось інше,8
