word,clue,length
ЩЕДРИЙ,Той, хто радо ділиться з іншими,6
ЖОРСТОКИЙ,Той, хто завдає болю без жалю,9
МИЛОСЕРДНИЙ,Той, хто виявляє співчуття й допомогу,11
СПРАВЕДЛИВИЙ,Той, хто діє чесно й неупереджено,12
УПЕРЕДЖЕНИЙ,Той, хто діє необ'єктивно,11
ВЕЛИКОДУШНИЙ,Той, хто прощає й не тримає зла,12
ДРІБНИЙ,Той, хто чіпляється до дрібниць у сварках,7
ЗАВЗЯТИЙ,Той, хто вперто йде до мети,8
БАЙДУЖИЙ,Той, кому все одно,8
ПАЛКИЙ,Той, хто діє з великим запалом,6
ХОЛОДНИЙ,Той, хто емоційно стриманий чи байдужий,8
РАДІСНИЙ,Той, хто завжди в доброму гуморі,8
ПОХМУРИЙ,Той, хто завжди в поганому настрої,8
ЗІБРАНИЙ,Той, хто рідко втрачає спокій,8
ЗАПАЛЬНИЙ,Той, хто швидко спалахує гнівом,9
