word,clue,length
ПРОЗОРИЙ,Той, крізь що видно наскрізь,8
МУТНИЙ,Той, що втратив прозорість,6
ГЛАДЕНЬКИЙ,Той, що не має нерівностей,10
ШОРСТКИЙ,Той, що не гладкий на дотик,8
ПУХНАСТИЙ,Той, що вкритий м'яким ворсом,9
КОЛЮЧИЙ,Той, що вкритий гострими шпичаками,7
ЛИПКИЙ,Той, що прилипає до рук,6
СЛИЗЬКИЙ,Той, по чому легко послизнутися,8
ЩІЛЬНИЙ,Той, у якому мало вільного простору,7
ПОРОЖНІЙ,Той, у якому нічого немає,8
ПЕРЕПОВНЕНИЙ,Той, у якому забагато чогось,12
ГУСТИЙ,Той, що має високу концентрацію,6
РІДКИЙ,Той, що легко тече, майже як вода,6
ВЯЗКИЙ,Той що чинить опір течії через густину,6
КРИХКИЙ,Той, що легко розсипається на шматки,7
