word,clue,length
ЧИСЕЛЬНИЙ,Той, кого чи чого дуже багато,9
МАСОВИЙ,Той, що охоплює багатьох одразу,7
ЛОКАЛЬНИЙ,Той, що діє в межах одного місця,9
ГЛОБАЛЬНИЙ,Той, що охоплює весь світ,10
ТИМЧАСОВИЙ,Той, що діє лише якийсь період,10
ПОСТІЙНИЙ,Той, що триває без перерви,9
ТРИВАЛИЙ,Той, що займає багато часу,8
ВІЧНИЙ,Той, що існує завжди,6
АКТУАЛЬНИЙ,Той, що важливий саме зараз,10
ЗАСТАРІЛИЙ,Той, що втратив свіжість чи чинність,10
МОДНИЙ,Той, що відповідає останнім тенденціям,6
КЛАСИЧНИЙ,Той, що визнаний зразком на всі часи,9
БАНАЛЬНИЙ,Той, що позбавлений свіжості й оригінальності,9
ТВОРЧИЙ,Той, що народжує нові ідеї,7
НАТХНЕННИЙ,Той, кого охопив приплив творчих сил,10
БЕЗДУШНИЙ,Той, що без емоцій і співчуття,9
ШТУЧНИЙ,Той, що зроблений людиною, а не природою,7
ПРИРОДНИЙ,Той, що існує без втручання людини,9
РУХЛИВИЙ,Той, що постійно в русі,8
НЕРУХОМИЙ,Той, що завмер на місці,9
АКТИВНИЙ,Той, що діє енергійно,8
ПАСИВНИЙ,Той, що майже не діє сам,8
ПРОДУКТИВНИЙ,Той, що дає багато результату,12
ЕФЕКТИВНИЙ,Той, що дає добрий результат з мінімумом витрат,10
ТОЧНИЙ,Той, що відповідає дійсності до дрібниць,6
ПРИБЛИЗНИЙ,Той, що визначений не точно, а на око,10
ДОСТАТНІЙ,Той, кого чи чого вистачає,9
ПОМІРНИЙ,Той, що без крайнощів,8
КРИТИЧНИЙ,Той, що вирішальний для результату,9
СЕРЙОЗНИЙ,Той, що вимагає уваги й відповідальності,9
ЖАРТІВЛИВИЙ,Той, що схильний до сміху й розваг,11
КУМЕДНИЙ,Той, що викликає добродушний сміх,8
