word,clue,length
УРОЧИСТИЙ,Той, що сповнений піднесеної важливості,9
ЖАЛОБНИЙ,Той, що пов'язаний зі смутком за померлим,8
РАДІСНИЙ,Той, що сповнений щастя,8
ТРАГІЧНИЙ,Той, що закінчується горем,9
КОМІЧНИЙ,Той, що викликає сміх,8
ДРАМАТИЧНИЙ,Той, що сповнений напруги й переживань,11
ГЕРОЇЧНИЙ,Той, що вимагає великої мужності,9
ЗНАМЕННИЙ,Той, що залишається в пам'яті надовго,9
ПАМЯТНИЙ,Той, що важко забути,8
НЕЗАБУТНІЙ,Той, що назавжди закарбувався в пам'яті,10
ВРАЖАЮЧИЙ,Той, що викликає сильне здивування,9
ЗАХОПЛЮЮЧИЙ,Той, що дуже цікавий і тримає увагу,11
НУДОТНИЙ,Той, що викликає нудьгу до краю,8
ПРИВАБЛИВИЙ,Той, що притягує увагу своєю красою,11
ВІДРАЗЛИВИЙ,Той, що викликає неприємне почуття,11
ЗВАБЛИВИЙ,Той, що спокушає своєю привабливістю,9
ЗАГАДКОВИЙ,Той, кого важко зрозуміти до кінця,10
