word,clue,length
ЗАПАЛЬНИЙ,Той, хто швидко спалахує гнівом,9
СТРИМАНИЙ,Той, хто вміє контролювати емоції,9
ВІДВЕРТИЙ,Той, хто говорить прямо, без прихованого,9
ПОТАЙНИЙ,Той, хто приховує свої наміри,8
ДОВІРЛИВИЙ,Той, хто легко вірить іншим,10
ПІДОЗРІЛИВИЙ,Той, хто не довіряє без причини,12
РОЗСУДЛИВИЙ,Той, хто діє обдумано,11
НЕЗГРАБНИЙ,Той, хто рухається незручно й невправно,10
СПРИТНИЙ,Той, хто рухається швидко й вправно,8
БЕЗТУРБОТНИЙ,Той, хто не переймається проблемами,12
ТУРБОТЛИВИЙ,Той, хто дбає про інших,11
ПРАЦЬОВИТИЙ,Той, хто багато й охоче працює,11
ЛІНИВИЙ,Той, хто уникає роботи,7
НАДІЙНИЙ,Той, на кого можна покластися,8
НЕДБАЛИЙ,Той, хто робить справи абияк,8
