word,clue,length
ЩАСЛИВИЙ,Той, хто відчуває глибоке задоволення життям,8
НЕЩАСНИЙ,Той, кому не таланить у житті,8
ЗАДОВОЛЕНИЙ,Той, хто отримав бажане,11
НЕВДОВОЛЕНИЙ,Той, хто не отримав бажаного,12
СПОКІЙНИЙ,Той, хто не піддається хвилюванню,9
НЕРВОВИЙ,Той, хто легко втрачає самовладання,8
ВЕСЕЛИЙ,Той, хто сповнений радощів і сміху,7
СУМНИЙ,Той, хто відчуває смуток,6
ПРИЄМНИЙ,Той, що викликає задоволення,8
НЕПРИЄМНИЙ,Той, що викликає відразу,10
БЛАГОРОДНИЙ,Той, хто діє шляхетно й безкорисливо,11
ПІДСТУПНИЙ,Той, хто діє хитро й приховано зловмисно,10
ВІРОГІДНИЙ,Той, що заслуговує на довіру,10
СУМНІВНИЙ,Той, що викликає недовіру,9
НЕЗАПЕРЕЧНИЙ,Той, з чим не можна не погодитися,12
