word,clue,length
ВІДКРИТИЙ,Той, що не має перешкод для доступу,9
ЗАКРИТИЙ,Той, що недоступний ззовні,8
ПРОЗОРИЙ,Той, у якому все ясно й зрозуміло без прихованого,8
ПОТАЄМНИЙ,Той, що прихований від інших,9
ЯВНИЙ,Той, що очевидний без сумніву,5
ПРИХОВАНИЙ,Той, що не видно одразу,10
ВИДИМИЙ,Той, що можна побачити,7
НЕВИДИМИЙ,Той, що не можна побачити,9
ДОСТУПНИЙ,Той, до чого легко дістатися,9
НЕДОСТУПНИЙ,Той, до чого важко дістатися,11
ЛЕГКИЙ,Той, що не вимагає зусиль,6
ВАЖКИЙ,Той, що вимагає багато зусиль,6
МОЖЛИВИЙ,Той, що може статися,8
НЕМОЖЛИВИЙ,Той, що не може статися,10
ЙМОВІРНИЙ,Той, що має шанс статися,9
